,hot,episode,guzhuang,Bilibili,LeTV,Youku,multi,Sohu,Aiqy,Tencent,MangoTV,time,actor_con,actor_degree,director_con,director_degree
1198,54.15,24.0,0,0,0,0,0,0,1,0,0,10,0.3333333333333333,0.016574585635359115,0.045454545454545456,0.015246015246015246
1207,48.92,24.0,0,0,0,0,0,0,0,0,1,10,0.20000000000000004,0.027624309392265192,0.05000000000000003,0.01386001386001386
1243,29.46,30.0,0,0,0,1,0,0,0,0,0,11,0.3333333333333333,0.016574585635359115,0.3333333333333333,0.002079002079002079
1284,73.95,25.311475409836067,0,0,0,0,0,0,1,0,0,11,0.5,0.011049723756906077,0.05263157894736843,0.013167013167013169
1286,47.26,36.0,1,0,0,0,0,0,0,1,0,11,0.5,0.011049723756906077,0.08333333333333336,0.008316008316008316
1291,50.91,4.0,0,0,0,0,0,0,0,0,1,11,1.0,0.0055248618784530384,1.0,0.000693000693000693
1293,48.51,25.311475409836067,0,0,0,1,0,0,0,0,0,11,1.0,0.0055248618784530384,0.10000000000000003,0.00693000693000693
1294,65.72,50.0,0,0,0,1,0,0,0,0,0,11,0.16666666666666669,0.03314917127071823,0.07692307692307694,0.009009009009009009
1296,74.11,25.311475409836067,1,0,0,0,0,0,1,0,0,11,0.14285714285714285,0.038674033149171276,0.016393442622950834,0.04227304227304227
1297,43.27,25.311475409836067,0,0,0,0,0,0,0,0,1,11,0.3333333333333333,0.016574585635359115,0.09090909090909091,0.007623007623007623
1299,40.2,25.311475409836067,0,0,0,1,0,0,0,0,0,11,1.0,0.0055248618784530384,0.20000000000000004,0.003465003465003465
1306,45.75,24.0,0,0,0,0,0,0,1,0,0,11,0.25,0.022099447513812154,0.07692307692307694,0.009009009009009009
1339,37.74,25.311475409836067,1,0,0,1,0,0,0,0,0,11,1.0,0.0055248618784530384,0.07692307692307694,0.009009009009009009
1340,50.88,25.311475409836067,1,0,0,0,0,0,0,1,0,11,0.16666666666666669,0.03314917127071823,0.08333333333333336,0.008316008316008316
1347,45.25,25.311475409836067,1,0,0,0,0,0,0,1,0,11,0.25,0.022099447513812154,0.09090909090909091,0.007623007623007623
1350,77.9,25.311475409836067,0,0,0,0,0,0,0,1,0,11,0.3333333333333333,0.016574585635359115,0.03125,0.022176022176022176
1352,41.46,25.311475409836067,0,0,0,0,0,0,0,0,1,11,1.0,0.0055248618784530384,0.3333333333333333,0.002079002079002079
1357,62.9,40.0,0,0,0,0,1,0,0,0,0,11,0.20000000000000004,0.027624309392265192,0.03125,0.022176022176022176
1358,55.91,25.311475409836067,1,0,0,0,0,0,1,0,0,11,0.20000000000000004,0.027624309392265192,0.0625,0.011088011088011088
1367,37.64,25.311475409836067,0,0,0,1,0,0,0,0,0,12,1.0,0.0055248618784530384,0.20000000000000004,0.003465003465003465
1375,38.0,18.0,0,0,0,1,0,0,0,0,0,12,1.0,0.0055248618784530384,0.14285714285714285,0.0048510048510048516
1376,38.0,15.0,0,0,0,1,0,0,0,0,0,12,1.0,0.0055248618784530384,0.14285714285714285,0.0048510048510048516
1378,83.65,30.0,0,0,0,0,0,0,1,0,0,12,0.14285714285714285,0.038674033149171276,0.05000000000000003,0.01386001386001386
1382,61.12,26.0,0,0,0,0,0,0,0,0,1,12,0.20000000000000004,0.027624309392265192,0.0625,0.011088011088011088
1383,70.64,45.0,1,0,0,1,0,0,0,0,0,12,0.16666666666666669,0.03314917127071823,0.03225806451612904,0.021483021483021485
1385,38.0,25.311475409836067,1,0,0,1,0,0,0,0,0,12,0.3333333333333333,0.016574585635359115,0.05555555555555555,0.012474012474012475
1386,64.81,42.0,0,0,0,1,0,0,0,0,0,12,0.25,0.022099447513812154,0.05882352941176469,0.01178101178101178
1399,65.99,30.0,0,0,0,0,0,0,0,1,0,12,0.3333333333333333,0.016574585635359115,0.025641025641025623,0.027027027027027032
1410,37.54,30.0,0,0,0,1,0,0,0,0,0,12,0.5,0.011049723756906077,0.5,0.001386001386001386
1411,26.91,25.311475409836067,1,0,0,1,0,0,0,0,0,12,0.5,0.011049723756906077,0.05555555555555555,0.012474012474012475
1418,68.13,25.311475409836067,0,0,0,0,0,0,0,1,0,12,0.25,0.022099447513812154,0.05882352941176469,0.01178101178101178
1422,60.96,25.311475409836067,1,0,0,0,0,0,0,0,1,12,0.3333333333333333,0.016574585635359115,0.039999999999999994,0.017325017325017327
1427,36.19,25.311475409836067,1,0,0,1,0,0,0,0,0,12,0.5,0.011049723756906077,0.07692307692307694,0.009009009009009009
1430,57.32,25.311475409836067,1,0,0,0,0,0,1,0,0,12,0.14285714285714285,0.038674033149171276,0.04347826086956521,0.01593901593901594
1437,36.57,25.311475409836067,1,0,0,1,0,0,0,0,0,12,0.5,0.011049723756906077,0.16666666666666669,0.004158004158004158
1442,35.88,20.0,1,0,0,0,0,0,0,0,1,12,0.25,0.022099447513812154,0.06666666666666667,0.010395010395010396
1445,34.88,30.0,1,0,0,1,0,0,0,0,0,12,1.0,0.0055248618784530384,0.07692307692307694,0.009009009009009009
1448,59.65,6.0,0,0,0,0,1,0,0,0,0,12,0.20000000000000004,0.027624309392265192,0.045454545454545456,0.015246015246015246
1458,35.66,29.0,0,0,0,1,0,0,0,0,0,12,0.5,0.011049723756906077,0.05882352941176469,0.01178101178101178
1468,46.72,30.0,0,0,0,0,1,0,0,0,0,12,0.25,0.022099447513812154,0.16666666666666669,0.004158004158004158
1472,46.91,34.0,0,0,0,0,1,0,0,0,0,12,0.5,0.011049723756906077,0.5,0.001386001386001386
1475,66.91,48.0,0,0,0,0,1,0,0,0,0,12,0.20000000000000004,0.027624309392265192,0.045454545454545456,0.015246015246015246
1482,45.19,25.311475409836067,0,0,0,0,0,0,0,1,0,12,0.25,0.022099447513812154,0.20000000000000004,0.003465003465003465
1491,59.86,25.311475409836067,0,0,0,0,0,0,1,0,0,12,0.3333333333333333,0.016574585635359115,0.3333333333333333,0.002079002079002079
1498,17.11,25.311475409836067,0,0,0,1,0,0,0,0,0,12,0.3333333333333333,0.016574585635359115,0.07692307692307694,0.009009009009009009
1507,56.6,40.0,1,0,0,1,0,0,0,0,0,13,0.25,0.022099447513812154,0.016393442622950834,0.04227304227304227
1508,66.5,40.0,0,0,0,0,0,0,0,0,1,13,0.3333333333333333,0.016574585635359115,0.3333333333333333,0.002079002079002079
1509,11.25,30.0,0,0,0,1,0,0,0,0,0,13,0.5,0.011049723756906077,0.05555555555555555,0.012474012474012475
1516,63.46,24.0,0,0,0,0,0,0,0,1,0,13,0.25,0.022099447513812154,0.05555555555555555,0.012474012474012475
1519,27.86,20.0,0,0,0,1,0,0,0,0,0,13,1.0,0.0055248618784530384,0.14285714285714285,0.0048510048510048516
1520,7.38,22.0,1,0,0,1,0,0,0,0,0,13,1.0,0.0055248618784530384,0.14285714285714285,0.0048510048510048516
1521,8.67,12.0,1,0,0,1,0,0,0,0,0,13,1.0,0.0055248618784530384,0.14285714285714285,0.0048510048510048516
1527,37.41,24.0,1,0,0,1,0,0,0,0,0,13,0.5,0.011049723756906077,0.07692307692307694,0.009009009009009009
1528,20.2,24.0,0,0,0,1,0,0,0,0,0,13,0.5,0.011049723756906077,0.5,0.001386001386001386
1536,47.3,25.311475409836067,1,0,0,0,0,0,0,0,1,13,0.25,0.022099447513812154,0.09090909090909091,0.007623007623007623
1538,30.08,20.0,1,0,0,1,0,0,0,0,0,13,0.5,0.011049723756906077,0.05555555555555555,0.012474012474012475
1543,64.73,32.0,0,0,0,0,1,0,0,0,0,13,0.3333333333333333,0.016574585635359115,0.04347826086956521,0.01593901593901594
1575,18.07,24.0,1,0,0,1,0,0,0,0,0,13,0.5,0.011049723756906077,0.05555555555555555,0.012474012474012475
1582,34.17,25.311475409836067,0,0,0,0,0,0,1,0,0,13,1.0,0.0055248618784530384,0.3333333333333333,0.002079002079002079
1587,81.6,40.0,0,0,0,0,1,0,0,0,0,13,0.3333333333333333,0.016574585635359115,0.20000000000000004,0.003465003465003465
1593,37.33,25.311475409836067,1,0,0,0,0,0,0,0,1,13,0.5,0.011049723756906077,0.09090909090909091,0.007623007623007623
1595,31.65,25.311475409836067,0,0,0,1,0,0,0,0,0,13,0.25,0.022099447513812154,0.07692307692307694,0.009009009009009009
1604,59.37,25.311475409836067,0,0,0,0,0,0,0,0,1,13,0.5,0.011049723756906077,0.05263157894736843,0.013167013167013169
1609,12.84,30.0,1,0,0,1,0,0,0,0,0,13,1.0,0.0055248618784530384,0.07692307692307694,0.009009009009009009
